,Year,State,Population,Deaths Per 100k,City,# Killed,# Injured,# Victims,Gun Law Rank,Safety Grade,Incident Date
0,2014,Louisiana,4644013,21.31,New Orleans,0,4,4,32,F,12/29/2014
1,2014,California,38596972,7.45,Los Angeles,1,3,4,1,A,12/27/2014
2,2014,California,38596972,7.45,Sacramento,0,4,4,1,A,12/27/2014
3,2014,Illinois,12884493,10.78,East St. Louis,1,3,4,8,A,12/26/2014
4,2014,Missouri,6056202,21.34,Saint Louis,1,3,4,46,F,12/24/2014
5,2014,Kentucky,4414349,16.81,Winchester,1,3,4,46,F,12/23/2014
6,2014,Michigan,9929848,12.82,Detroit,1,3,4,19,C,12/22/2014
7,2014,New York,19651049,4.03,Webster,4,2,6,4,A,12/22/2014
8,2014,Illinois,12884493,10.78,Chicago,0,5,5,8,A,12/22/2014
9,2014,Florida,19845911,12.81,Sarasota,2,2,4,22,C,12/21/2014
10,2014,Mississippi,2990468,22.81,Waynesboro,1,4,5,50,F,12/21/2014
11,2014,Illinois,12884493,10.78,Calumet City,1,8,9,8,A,12/21/2014
12,2014,Illinois,12884493,10.78,Rockford,4,0,4,8,A,12/20/2014
13,2014,New Jersey,8864525,4.75,Elizabeth,0,4,4,2,A,12/16/2014
14,2014,Pennsylvania,12788313,12.47,Lansdale,7,0,7,12,C,12/15/2014
15,2014,Florida,19845911,12.81,Miami,1,4,5,22,C,12/14/2014
16,2014,Florida,19845911,12.81,Tampa,0,5,5,22,C,12/13/2014
17,2014,Oregon,3963244,11.68,Portland,0,4,4,15,C,12/12/2014
18,2014,Indiana,6593644,14.71,South Bend,0,4,4,28,D,12/7/2014
19,2014,Missouri,6056202,21.34,Saint Louis,1,5,6,46,F,12/2/2014
20,2014,Virginia,8310993,11.76,Newport News,0,5,5,26,D,12/2/2014
21,2014,New York,19651049,4.03,Brooklyn,0,4,4,4,A,11/30/2014
22,2014,Tennessee,6541223,17.82,Chattanooga,0,5,5,29,D,11/30/2014
23,2014,Georgia,10067278,15.72,Atlanta,3,2,5,32,F,11/29/2014
24,2014,New Jersey,8864525,4.75,Newark,1,3,4,2,A,11/29/2014
25,2014,Tennessee,6541223,17.82,Memphis,0,4,4,29,D,11/28/2014
26,2014,Texas,26964333,12.22,Georgetown,2,3,5,34,F,11/27/2014
27,2014,California,38596972,7.45,San Francisco,0,6,6,1,A,11/26/2014
28,2014,Virginia,8310993,11.76,Parksley,0,4,4,26,D,11/23/2014
29,2014,Colorado,5350101,15.14,Denver,1,4,5,14,C,11/23/2014
30,2014,Ohio,11602700,13.05,Cleveland,4,1,5,24,D,11/22/2014
31,2014,South Dakota,849129,13.5,Sisseton,4,1,5,44,F,11/22/2014
32,2014,Ohio,11602700,13.05,Springfield,1,3,4,24,D,11/22/2014
33,2014,Pennsylvania,12788313,12.47,Pittsburgh,0,6,6,12,C,11/21/2014
34,2014,Illinois,12884493,10.78,Chicago,1,3,4,8,A,11/19/2014
35,2014,Nevada,2817628,17.84,North Las Vegas,0,4,4,15,C,11/18/2014
36,2014,Ohio,11602700,13.05,Akron,1,4,5,24,D,11/16/2014
37,2014,Texas,26964333,12.22,El Paso,0,6,6,34,F,11/16/2014
38,2014,Missouri,6056202,21.34,Springfield,4,0,4,46,F,11/15/2014
